Display Order,Product Details,ASIN,Segment,URL,Image URL,Brand,Price  £,Parent Level Sales,ASIN Sales,Recent Purchases,Parent Level Revenue,ASIN Revenue,Title Char. Count,BSR,Seller Country/Region,Fees  £,Active Sellers,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Fulfillment,Dimensions,Weight,ABA Most Clicked,Creation Date,Sponsored,Best Seller,Seller Age (mo),Seller
9.1.,"LONDON MOTH KILLER 10 (TEN) Premium Sticky Pheromone Moth Traps for the Common Clothes Moth and Similar Variants, for Wardrobes, Clothes and Carpets. inc. eBook (Discreet London Moth)",B0FY3LPHGP,Physical Trap,https://www.amazon.co.uk/dp/B0FY3LPHGP?psc=1,https://m.media-amazon.com/images/I/81VasoXg1PL._AC_SX355_.jpg,Theo's Home Care,20.77,"9,589","3,300","2,000","170,077.63","57,204.07",183,41,GB,3.95,1,4.5,"3,122",5,"3,112",Theos Home Care Ltd,Garden,Large Envelope,FBA,14.50 x 2.60 x 12.10 cm,0.2,N/A,"Nov 12, 2025",,No,6,Theos Home Care Ltd
141.1.,Cedarwood Moth Repellent Planks : 16 Wardrobe Fresheners – Cedar Wood Blocks as Clothes Moth Repellent – Drawer and Wardrobe Freshener – Cedar Wood Moth Repellent – Anti Moth Cedar Chips – Inovida,B0D71625BY,Repellent,https://www.amazon.co.uk/dp/B0D71625BY?psc=1,"https://m.media-amazon.com/images/I/81hmOBAO9XL._AC_SY355_PIbundle-16,TopRight,0,0_SH20_.jpg",Inovida,11.56,883,104,50,"7,260.54","1,036.7",196,580,N/A,2.67,1,4.2,508,6,12,Inovida,Garden,Standard Envelope,FBA,21.50 x 2.00 x 17.40 cm,0.3,N/A,"Oct 14, 2024",,No,19,Inovida
47.1.,"Acana Clothes Moth Traps 10 Pack – Attracts & Kills Clothes Moths with Natural Pheromone Glue Boards – Non-Toxic, Insecticide-Free Protection for Wardrobes & Drawers - Protects Clothes and Fabrics",B0F1DMRG3J,Killer Spray,https://www.amazon.co.uk/dp/B0F1DMRG3J?psc=1,https://m.media-amazon.com/images/I/810-cGqP6oL._AC_SY355_.jpg,Acana,17.28,"4,885","2,950","2,000","57,269.5","43,980.32",196,149,GB,3.65,17,3.9,697,6,29,QUAILITAS LIMITED,Garden,Large Envelope,MFN,14.70 x 3.90 x 12.00 cm,0.21,N/A,"Jul 15, 2025",,No,10,QUAILITAS LIMITED
47.2.,"Acana Moth Trap Refills, Pack of 2 Pads - Ideal for Protecting Clothes, Carpets & Wardrobes - Home & Surfaces - Traps Moths, Pheromone Technology - Harsh Chemical Free - Refillable",B00SB9FQ1A,Physical Trap,https://www.amazon.co.uk/dp/B00SB9FQ1A?psc=1,https://m.media-amazon.com/images/I/81vUPEPhcfL._AC_SY355_.jpg,Acana,7.87,"4,885","1,096","1,000","57,269.5","7,091.62",180,149,N/A,2.02,23,3.9,697,6,29,Pest Control Direct,Garden,Standard Envelope,FBA,19.60 x 1.50 x 9.20 cm,0.02,N/A,"Apr 25, 2016",,No,121,Pest Control Direct
134.1.,ecoKiwi Moth Repellent for Wardrobes & Clothes - 20 Pack Cedar Wood Hanging Blocks - Cedarwood Moth Repellent Wardrobe Freshener - 100% Natural Oil Storage for Drawers with Sandpaper,B09VY2YBZN,Repellent,https://www.amazon.co.uk/dp/B09VY2YBZN?psc=1,"https://m.media-amazon.com/images/I/71ziqxdlj-L._AC_SX355_PIbundle-20,TopRight,0,0_SH20_.jpg",ecoKiwi,23.13,418,85,200,"7,020.61","1,703.04",182,"1,620",N/A,4.65,1,4.2,"1,161",7,N/A,ecoKiwi,Garden,Small Parcel,FBA,22.30 x 6.20 x 16.61 cm,0.91,N/A,"Jul 26, 2022",,No,46,ecoKiwi
41.1.,"10 Pheromone Clothes Moth Traps, Carpet Moth Trap + Lavender Freshener + 10 Glowing Pads + eBook with Moths Prevention & Protection Techniques, Cloth Moths Monitoring Traps Detecting Activity",B07QZNXGPW,Physical Trap,https://www.amazon.co.uk/dp/B07QZNXGPW?psc=1,https://m.media-amazon.com/images/I/81wrmdX6zjL._AC_SY355_.jpg,MothOut,20.8,"1,841","1,519","1,000","32,135.74","27,298.29",191,347,GB,4.84,1,4.3,"1,576",8,16,ATON.AMZ,Garden,Standard Envelope,FBA,20.00 x 2.50 x 12.30 cm,0.22,N/A,"Apr 21, 2019",,No,85,ATON.AMZ
145.1.,ecoKiwi Moth Repellent for Wardrobes Cedar Rings - 55 Pack - 100% Natural Cedar Balls - Anti Moth Products - Cedarwood Oil Moth Repellent for Rooms & Clothes - Moth Balls for Wardrobe with Sandpaper,B09VY1KM7Z,Repellent,https://www.amazon.co.uk/dp/B09VY1KM7Z?psc=1,"https://m.media-amazon.com/images/I/81mE2ce6U4L._AC_SY355_PIbundle-55,TopRight,0,0_SH20_.jpg",ecoKiwi,23.13,373,77,100,"5,979.16","1,531.65",198,990,N/A,4.21,1,4.2,"1,295",7,N/A,ecoKiwi,Garden,Extra Large Envelope,FBA,16.10 x 6.00 x 14.70 cm,0.4,N/A,"Jul 27, 2022",,No,46,ecoKiwi
46.1.,"NOPE! Clothes Moth Traps | Odourless Non-Toxic Pheromone Sticky Trap | For Cupboards, Drawers & Clothes Storage Areas | Child & Pet Safe (6-pack)",B0FFTJTSC5,Physical Trap,https://www.amazon.co.uk/dp/B0FFTJTSC5?psc=1,https://m.media-amazon.com/images/I/71sANu-mZRL._AC_SX355_.jpg,NOPE!,17.34,445,237,200,"7,703.66","3,552.8",145,"4,871",GB,5.19,2,4.2,73,9,1,Safeguard Europe Ltd,Garden,Large Envelope,MFN,14.80 x 3.10 x 12.10 cm,0.13,N/A,"Jun 27, 2025",,No,11,Safeguard Europe Ltd
114.1.,"Moth Traps – 12 Pack for Wardrobes, Clothes & Storage Areas – Double-Sided Adhesive Surface, Non-Toxic, Odourless, Foldable Triangle Design",B0DZJ45NN5,Physical Trap,https://www.amazon.co.uk/dp/B0DZJ45NN5?psc=1,https://m.media-amazon.com/images/I/81XkpzoH+QL._AC_SY355_.jpg,Pest strike,15.03,659,191,100,"5,832.65","2,330.12",139,"4,014",N/A,2.91,2,3.6,53,8,6,Rivero products,Garden,Standard Envelope,MFN,28.50 x 1.90 x 11.80 cm,0.24,N/A,"Mar 20, 2025",,No,14,Rivero products
64.1.,"Moth Killer Spray – Wardrobe & Carpet Moth Treatment for Home & Commercial Use, Long-Lasting Insecticide for Fabric Pests, Carpet Beetles, Larvae & Pupae. Low Odour & Residual Action (1 Litre)",B0GCNWP74N,Killer Spray,https://www.amazon.co.uk/dp/B0GCNWP74N?psc=1,https://m.media-amazon.com/images/I/71OBrzMICeL._SX342_.jpg,MothOut,19.66,"1,095",833,300,"17,561.31","14,147.65",192,"1,891",GB,6.35,1,4.3,84,8,10,ATON.AMZ,Garden,Small Parcel,FBA,27.90 x 6.60 x 16.40 cm,1.1,N/A,"Dec 26, 2025",,No,5,ATON.AMZ
