Display Order,Product Details,ASIN,Segment,URL,Image URL,Brand,Price  £,Parent Level Sales,ASIN Sales,Recent Purchases,Parent Level Revenue,ASIN Revenue,Title Char. Count,BSR,Seller Country/Region,Fees  £,Active Sellers,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Fulfillment,Dimensions,Weight,ABA Most Clicked,Creation Date,Sponsored,Best Seller,Seller Age (mo),Seller
53.,"Zero In New Generation Moth Balls - Effective Moth Killer for Wardrobes - Up To 3-Months Protection - Advanced Transfluthrin Formula - For Drawers, and Storage Bags - 30 Pack",B0B3J8P3KC,Killer Spray,https://www.amazon.co.uk/dp/B0B3J8P3KC?psc=1,https://m.media-amazon.com/images/I/81So9KYU8jL._AC_SY355_.jpg,Zero In,10.26,"1,115","1,115",900,"9,242.24","9,232.09",174,750,GB,3.45,19,4.3,525,7,8,Britannia Bargains,Garden,Extra Large Envelope,MFN,19.70 x 4.40 x 12.30 cm,0.23,N/A,"Jun 8, 2022",,No,47,Britannia Bargains
33.,Acana Sachet Moth Killer 16 Pack- For Drawers & Storage- Protects Clothing & Bedding- Lasts 3 Months,B008BG6JFK,Repellent,https://www.amazon.co.uk/dp/B008BG6JFK?psc=1,https://m.media-amazon.com/images/I/71ttQ0Um3iL._AC_SY355_.jpg,Acana,8.67,"1,189","1,189","1,000","8,835.95","8,824.72",100,126,GB,3.16,1,4.3,"9,739",5,10,Acana,Home & Kitchen,Large Envelope,FBA,15.50 x 3.50 x 9.00 cm,0.04,N/A,"Sep 6, 2012",,No,164,Acana
22.,"Zero In Clothes Moths Killer Spray- Fast-Acting Insecticide with Prallethrin & 1R Trans Phenothrin - Kills Moths on Contact - For Wardrobes, Textiles & Clothes - Long-Lasting Moth Spray, 300ml Aerosol",B00B2KP7U0,Killer Spray,https://www.amazon.co.uk/dp/B00B2KP7U0?psc=1,https://m.media-amazon.com/images/I/61G0edi1trL._AC_SY355_.jpg,Zero In,6.06,"1,481","1,481","2,000","8,674","8,667.13",200,340,AMZ,3.96,40,4.2,"5,110",7,11,,Garden,Extra Large Envelope,AMZ,23.20 x 4.60 x 4.80 cm,0.31,N/A,"Mar 3, 2010",,No,194,
32.,"REPELEM Carpet Moth Killer Spray - Large 1L Instant Action Moth Killer & Moth Repellent, Kills Moths at All Life Stages, Non-Staining Professional Strength Carpet Insect Killer, 3 Months Protection",B0FQJN5KKP,Killer Spray,https://www.amazon.co.uk/dp/B0FQJN5KKP?psc=1,https://m.media-amazon.com/images/I/71gKOVvZzHL._SX342_.jpg,REPELEM,20.82,519,466,900,"10,072.66","8,381.43",197,817,GB,5.85,1,4.4,33,7,11,Mammoth E-commerce Ltd,Garden,Small Parcel,FBA,28.20 x 6.30 x 16.90 cm,1.11,N/A,"Sep 10, 2025",,No,8,Mammoth E-commerce Ltd
23.,Acana Hanging Moth Killer 2 pack For Wardrobes - Max Performance - Kills in 24 to 48 Hours - Protects Clothing & Bedding,B0FB486NSJ,Killer Spray,https://www.amazon.co.uk/dp/B0FB486NSJ?psc=1,https://m.media-amazon.com/images/I/71Fq4eZRPmL._AC_SY355_.jpg,Acana,7.72,"1,120","1,120","2,000","7,470.28","7,469.63",120,265,GB,2.15,19,4.2,107,6,24,MerryMelly,Garden,Small Envelope,FBA,18.70 x 0.70 x 13.80 cm,0.03,N/A,"Jul 15, 2025",,No,10,MerryMelly
58.,RENTOKIL Carpet Beetle & Moth Killer Powder - Fast Acting Treatment - Kills Larvae and Adults - Also Effective Against Clothes Moths and Ants - 150g,B00GOXOCQU,Killer Spray,https://www.amazon.co.uk/dp/B00GOXOCQU?psc=1,https://m.media-amazon.com/images/I/61VJRNvUhtL._SX342_.jpg,Rentokil,8.06,886,886,600,"6,185.66","6,177.13",148,"2,555",AMZ,3.35,19,4.3,"1,770",9,6,Amazon,Garden,Extra Large Envelope,AMZ,18.80 x 4.90 x 5.00 cm,0.2,N/A,"Sep 28, 2014",,No,140,Amazon
49.,"6 Hanging Moth Repellent for Wardrobes, Kills Moths Larvae and Eggs, Moth Killer for Protect Clothes in Wardrobes & Drawers, Highly Effective 6 Months Protection",B0C6LZ284K,Repellent,https://www.amazon.co.uk/dp/B0C6LZ284K?psc=1,https://m.media-amazon.com/images/I/61hL3sA-DjL._AC_SY355_.jpg,PZS Stores,13.87,501,501,300,"5,984.99","5,980.13",161,"3,331",GB,4.4,2,4,178,7,5,Royal Luxe Mart,Garden,Extra Large Envelope,FBA,22.90 x 5.50 x 18.60 cm,0.16,N/A,"May 30, 2023",,No,36,Royal Luxe Mart
42.,"Acana Moth Killer & Freshener, Fresh Linen, 275ml - Spray Formula, Kills Moths, Eggs & Larvae - Licensed Insecticide - Non-staining - for Carpets, Curtains & Cushions",B0BLZDJD9G,Killer Spray,https://www.amazon.co.uk/dp/B0BLZDJD9G?psc=1,https://m.media-amazon.com/images/I/81zPh4-xbXL._AC_SY355_.jpg,Acana,8.84,"4,974",457,400,"44,577.24","4,194.09",166,74,GB,3.4,10,4.3,"1,514",5,33,Acana,Garden,Extra Large Envelope,FBA,19.20 x 4.30 x 8.80 cm,0.32,N/A,"Nov 10, 2022",,No,42,Acana
65.,Pest Expert Carpet Moth Killer Spray 1ltr - Formula 'C+' Advanced Carpet & Clothes Moth Killer Treatment Professional Strength - Fast Acting Killer for Home & Wardrobes,B01J5V8JOS,Killer Spray,https://www.amazon.co.uk/dp/B01J5V8JOS?psc=1,https://m.media-amazon.com/images/I/71E8gHZYF+L._AC_SY355_.jpg,Pest Expert,17.3,242,242,100,"3,614.81","3,612.25",168,"5,761",GB,5.09,1,4.4,"1,079",5,1,pestcontrolsupermarket,Garden,Small Parcel,MFN,27.40 x 5.80 x 13.00 cm,1.1,N/A,"Jun 25, 2015",,No,131,pestcontrolsupermarket
64.,"Carpet Moth Killer Spray 650ml Powerful Moth Killer, Moth Repellent for Carpets, Moth Spray for Complete Moth Treatment, No1 Pest Expert Formula to Eliminate Moths and Carpet Beetles, Fast Acting Spray",B0CZ15KB9C,Killer Spray,https://www.amazon.co.uk/dp/B0CZ15KB9C?psc=1,https://m.media-amazon.com/images/I/71twnlRmH4L._AC_SY355_.jpg,READY STEADY DEFEND,15.03,275,275,200,"3,492.92","3,490.07",201,"11,815",GB,4.23,1,4.5,109,7,0,Ready Steady Defend UK,Garden,Small Parcel,FBA,29.70 x 7.40 x 11.60 cm,0.73,N/A,"Apr 3, 2024",,No,25,Ready Steady Defend UK
59.,"Wardrobe & Carpet Moth Killer Spray, Kills Moths all Species, Adults, Larvae & Pupae, Non-Staining, Low Odour, Moth Repellent for Carpets, Curtains, Hard Surfaces & Cushions (500 Millilitres)",B0F1N9STRQ,Killer Spray,https://www.amazon.co.uk/dp/B0F1N9STRQ?psc=1,https://m.media-amazon.com/images/I/716yKKl4ZWL._SX342_.jpg,MothOut,15.03,"1,095",262,300,"17,561.31","3,402.47",191,"1,890",GB,4.54,1,4.3,84,8,10,ATON.AMZ,Garden,Extra Large Envelope,FBA,23.20 x 5.90 x 16.50 cm,0.56,N/A,"Mar 17, 2025",,No,14,ATON.AMZ
69.,moth stop Lakeland Fabric Moth Killer & Freshener Spray 275ml – Kill Moths & Eggs Lasts For 3 Months,B01DF3SJ06,Killer Spray,https://www.amazon.co.uk/dp/B01DF3SJ06?psc=1,https://m.media-amazon.com/images/I/81+QuILcUtL._AC_SY355_.jpg,lakeland,11.56,337,337,300,"3,363.49","3,360",100,"8,046",GB,5,1,4.3,451,5,3,Lakeland,Grocery,Extra Large Envelope,FBA,19.00 x 4.30 x 9.00 cm,0.33,N/A,"Apr 21, 2017",,No,109,Lakeland
52.,"Karlsten Moth Killer Aerosol – High Strength Clothes & Carpet Moth Treatment – Rapid Elimination for Wardrobes, Drawers & Fabrics – Effective Fabric Pest Control – 300ML",B0CTZHYJJF,Killer Spray,https://www.amazon.co.uk/dp/B0CTZHYJJF?psc=1,https://m.media-amazon.com/images/I/71BgrJ2UcKL._SY445_.jpg,Karlsten,15.03,164,164,100,"2,129.34","2,127.57",169,"6,680",GB,5.05,1,4.4,118,8,1,E&G products Limited,Garden,Extra Large Envelope,FBA,23.70 x 4.80 x 4.80 cm,0.27,N/A,"Feb 5, 2024",,No,27,E&G products Limited
60.,Lakeland Moth Stop Fabric Moth Killer & Freshener Spray – Cotton Fresh Wool Cashmere Linen & Fur,B098JW8PKL,Killer Spray,https://www.amazon.co.uk/dp/B098JW8PKL?psc=1,https://m.media-amazon.com/images/I/51auG0UXmLL._AC_SY355_.jpg,lakeland,11.56,200,200,100,"2,001.86","1,999.73",96,"7,935",GB,4.25,2,4.4,170,3,0,Lakeland,Garden,Extra Large Envelope,FBA,19.80 x 4.80 x 9.40 cm,0.33,N/A,"Jul 2, 2021",,No,58,Lakeland
44.,"Moth Killer Spray - 500ml Fast Acting Moth Repellent for Wardrobes, Clothes, Carpet Moth Treatment, Stain-Free & Odourless, Safe Moths Killer",B0DWFWQQ8S,Killer Spray,https://www.amazon.co.uk/dp/B0DWFWQQ8S?psc=1,https://m.media-amazon.com/images/I/71P0I5DtqTL._SX342_.jpg,Pest strike,11.56,177,177,100,"1,947.31","1,945.5",141,"5,067",GB,3.67,2,4.4,49,7,N/A,Rivero products,Garden,Extra Large Envelope,FBA,23.70 x 5.80 x 11.80 cm,0.57,N/A,"Feb 7, 2025",,No,15,Rivero products
51.,Karlsten Carpet & Clothes Moth Killer – Fast-Acting Insect Treatment Spray – Eliminates Infestations Quickly – Powerful Pest Control Solution – 5 Litre Size for Home & Commercial Use,B09JWR4TBG,Killer Spray,https://www.amazon.co.uk/dp/B09JWR4TBG?psc=1,https://m.media-amazon.com/images/I/51TsjNiA-RL._SX342_.jpg,Karlsten,39.92,53,53,50,"1,824.56","1,824.43",182,"22,401",GB,8.84,1,4.5,113,7,1,E&G products Limited,Garden,Standard Parcel,FBA,28.20 x 13.30 x 18.90 cm,5.12,N/A,"Oct 20, 2021",,No,55,E&G products Limited
67.,"Pestmatic Carpet Moth Killer Spray 1 Litre, Moth Repellent Spray for Carpets, Wardrobes, Kitchen, Pantry, Effective Treatment Kills Moths Larvae & Eggs on Contact, Long Lasting 12 Weeks Protection",B0CJRX316L,Killer Spray,https://www.amazon.co.uk/dp/B0CJRX316L?psc=1,https://m.media-amazon.com/images/I/718hzDxhDaL._SX342_.jpg,Pestmatic,18.4,102,102,50,"1,626.9","1,625.74",196,"17,373",PL,4.42,1,4.2,122,8,3,eDreams,Garden,Small Parcel,FBA,29.70 x 7.50 x 14.30 cm,1.11,N/A,"Sep 25, 2023",,No,32,eDreams
55.,"Moth Control Spray 500ml for Clothes Moths, Fabric & Textile Treatment for Wardrobes, Drawers & Storage, Fast Acting On Contact, Plant-Based Formula for Home Use",B0CNQH1ZMR,Killer Spray,https://www.amazon.co.uk/dp/B0CNQH1ZMR?psc=1,https://m.media-amazon.com/images/I/6103eLDiaOL._AC_SY355_.jpg,READY STEADY DEFEND,16.19,86,86,50,"1,191.33","1,190.39",161,"13,596",GB,3.81,1,4,133,7,0,Ready Steady Defend UK,Garden,Extra Large Envelope,FBA,26.00 x 5.70 x 10.30 cm,0.52,N/A,"Nov 20, 2023",,No,30,Ready Steady Defend UK
15.1.,"REPELEM 1L Moth Killer Spray - Fast Acting Moth Repellent & Insect Killer, Kills Moths at all Life Stages, Professional Strength Permethrin Spray, Large Clothes & Carpet Moth Treatment",B0DV9GC1ZY,Killer Spray,https://www.amazon.co.uk/dp/B0DV9GC1ZY?psc=1,https://m.media-amazon.com/images/I/71H7b9nSm2L._SX342_.jpg,REPELEM,28.92,"3,405",130,50,"58,079.75","3,249.65",184,275,GB,7.1,1,4.4,266,8,29,Mammoth E-commerce Ltd,Garden,Small Parcel,FBA,30.50 x 8.50 x 24.20 cm,1.52,N/A,"Jan 28, 2025",,No,16,Mammoth E-commerce Ltd
15.2.,"REPELEM 1L Moth Killer Spray - Fast Acting Moth Repellent & Insect Killer, Kills Moths at all Life Stages, Professional Strength Permethrin Spray, Large Clothes & Carpet Moth Treatment 2 Pack",B0FPR9NFMW,Killer Spray,https://www.amazon.co.uk/dp/B0FPR9NFMW?psc=1,https://m.media-amazon.com/images/I/71z6BGrQDhL._SX342_.jpg,REPELEM,34.7,"3,405",164,100,"58,079.75","4,924.93",191,275,GB,7.87,1,4.4,266,7,29,Mammoth E-commerce Ltd,Garden,Small Parcel,FBA,31.00 x 9.00 x 23.60 cm,2.31,N/A,"Sep 4, 2025",,No,8,Mammoth E-commerce Ltd
21.1.,"Acana Monitoring Moth Trap - Ideal for Protecting Clothes, Carpets & Soft Furnishings - Home & Surfaces - Traps Moths, Pheromone Technology - Harsh Chemical Free - Refillable",B00SB9FLQ0,Physical Trap,https://www.amazon.co.uk/dp/B00SB9FLQ0?psc=1,https://m.media-amazon.com/images/I/717WTZZJmIL._AC_SY355_.jpg,Acana,8.37,"4,885",839,600,"57,269.5","6,182.41",174,149,N/A,3.79,23,3.9,697,6,30,QUAILITAS LIMITED,Garden,Large Envelope,MFN,21.50 x 3.80 x 9.40 cm,0.06,N/A,"Apr 24, 2016",,No,121,QUAILITAS LIMITED
45.2.,Entopest 30-Pack Clothes Moth Monitoring Traps – Refill for Room & Wardrobe Hanger Units – For Detection of Tineola bisselliella,B07PDMX8KS,Physical Trap,https://www.amazon.co.uk/dp/B07PDMX8KS?psc=1,https://m.media-amazon.com/images/I/81Ld-9uu2DL._AC_SY355_.jpg,Entopest,28.92,"3,262","1,124",900,"49,636.6","26,047.69",128,270,N/A,5.88,1,4.3,"2,884",7,19,Fort Products,Garden,Large Envelope,FBA,22.40 x 2.60 x 13.20 cm,0.12,N/A,"Apr 16, 2019",,No,85,Fort Products
38.1.,"Carpet Moth Killer Spray 1 Litre - Safe Moths Killer, Gentle Moths Repellent for Home, Rooms, Non-Staining Carpet Beetle Spray, Moth Repellent for Wardrobes, Prevention for 3 Months",B017NTZKF0,Killer Spray,https://www.amazon.co.uk/dp/B017NTZKF0?psc=1,https://m.media-amazon.com/images/I/61gx6Xz4G4L._AC_SY355_.jpg,RugRemedyUK,18.51,"2,192",909,800,"31,204.84","14,537.91",181,521,N/A,4.43,2,4.4,"2,720",7,14,Pinks Farm,Garden,Small Parcel,FBA,31.70 x 11.60 x 14.40 cm,1.09,N/A,"Nov 6, 2015",,No,126,Pinks Farm
32.2.,"REPELEM 2 Pack Carpet Moth Killer Spray - Large 1L Instant Action Moth Killer & Moth Repellent, Kills Moths at All Life Stages, Non-Staining Strength Carpet Insect Killer, 3 Months Protection",B0FRSNWVBM,Killer Spray,https://www.amazon.co.uk/dp/B0FRSNWVBM?psc=1,https://m.media-amazon.com/images/I/71frfsx16dL._SX342_.jpg,REPELEM,34.7,519,41,N/A,"10,072.66","1,228.31",191,817,N/A,7.92,1,4.4,33,7,11,Mammoth E-commerce Ltd,Garden,Small Parcel,FBA,30.00 x 8.20 x 23.60 cm,2.31,N/A,"Sep 19, 2025",,No,8,Mammoth E-commerce Ltd
68.,Clothes & Carpet Moth Monitoring Traps | 5 Sticky Pheromone Monitoring Traps for Wardrobe | Premium Moth Monitoring Catchers Indoors,B0F64GDTFV,Physical Trap,https://www.amazon.co.uk/dp/B0F64GDTFV?psc=1,https://m.media-amazon.com/images/I/81ulpHxQC3L._AC_SX355_.jpg,Manchester Mothmen,19.61,"3,084","3,084","2,000","52,274.42","52,274.28",132,230,GB,3.12,1,4.6,346,1,24,Hephaestus-EU,Garden,Standard Envelope,FBA,14.60 x 1.70 x 12.10 cm,0.12,N/A,"Apr 24, 2025",,No,13,Hephaestus-EU
42.,20-Pack Clothes Moth Monitoring Pads - Refill for Room & Wardrobe Hanger Units - for Detection of Tineola bisselliella,B07282LQDP,Physical Trap,https://www.amazon.co.uk/dp/B07282LQDP?psc=1,"https://m.media-amazon.com/images/I/81kXpbNqYIL._AC_SY355_PIbundle-2,TopRight,0,0_SH20_.jpg",Entopest,23.13,"1,495","1,495","1,000","27,333.87","27,318.75",118,"1,072",GB,3.33,1,4.5,692,7,12,Fort Products,Garden,Standard Envelope,FBA,17.20 x 1.70 x 6.90 cm,0.09,N/A,"May 9, 2017",,No,108,Fort Products
56.,6-Pack Moth Killer Hangers for Wardrobes: Lavender-Scented Clothes Moth Repellent | Anti-Moth Protection for Wardrobes and Drawers | Up to 3 Months Protection per Hanger |,B0FMKF65MW,Repellent,https://www.amazon.co.uk/dp/B0FMKF65MW?psc=1,"https://m.media-amazon.com/images/I/81lVXvUSTXL._AC_SY355_PIbundle-6,TopRight,0,0_SH20_.jpg",READY STEADY DEFEND,17.34,"1,320","1,144",900,"18,847.55","17,131.65",171,595,GB,3.95,1,4,132,7,24,Ready Steady Defend UK,Garden,Extra Large Envelope,FBA,22.70 x 5.70 x 15.40 cm,0.08,N/A,"Aug 15, 2025",,No,9,Ready Steady Defend UK
47.,"Orphea Anti Moth Strips - Floral Scented Moth Repellent for Wardrobes Drawers Shelves - Wardrobe Fresheners for Wool - Moth Paper Strips for Clothes Storage (3 Packs, 36 Strips) sold by Caraselle",B000YGIS0E,Repellent,https://www.amazon.co.uk/dp/B000YGIS0E?psc=1,https://m.media-amazon.com/images/I/81ON4HUuLjL._AC_SY355_.jpg,Caraselle,24.29,278,278,200,"5,829.9","5,826.95",195,"14,984",GB,5.14,1,4.4,60,7,6,CaraselleDirect,Home & Kitchen,Large Envelope,FBA,20.20 x 2.60 x 12.40 cm,0.06,N/A,"Jun 18, 2021",,No,59,CaraselleDirect
55.,"Zero In New Generation Moth Balls - 10-Pack. Place in Wardrobes, Cupboards and Drawers to Kill Clothes Moths, Eggs, and Larvae. Fragranced, White",B01FSDM5C4,Killer Spray,https://www.amazon.co.uk/dp/B01FSDM5C4?psc=1,https://m.media-amazon.com/images/I/71pUKTa-e7L._AC_SY355_.jpg,Zero In,4.89,"1,357","1,357","1,000","5,638.58","5,634.3",145,453,GB,2.9,24,4.2,"4,498",7,8,TOP SAVER,Garden,Large Envelope,MFN,19.90 x 2.70 x 13.20 cm,0.08,N/A,"Aug 13, 2016",,No,117,TOP SAVER
45.,"6 Hanging Moth Repellent for Wardrobes, Kills Moths Larvae and Eggs, Clothes Moth Killer for Protect Clothes in Wardrobes & Drawers, Highly Effective Prevent Moth and Mold",B0DG7RMHR9,Repellent,https://www.amazon.co.uk/dp/B0DG7RMHR9?psc=1,https://m.media-amazon.com/images/I/61TzE6YRpjL._AC_SY355_.jpg,SSinaaes,15.03,213,213,100,"2,767.5","2,765.22",171,"9,011",GB,3.71,1,3.8,43,7,1,Tiny World Shop,Garden,Small Parcel,FBA,12.00 x 8.50 x 8.80 cm,0.16,N/A,"Sep 14, 2024",,No,20,Tiny World Shop
40.,"Orphea Anti Moth Strips - Floral Scented Moth Repellent for Wardrobes Drawers Shelves - Wardrobe Fresheners for Wool - Moth Paper Strips for Clothes Storage (2 Packs, 24 Strips) sold by Caraselle",B00BHECO34,Repellent,https://www.amazon.co.uk/dp/B00BHECO34?psc=1,https://m.media-amazon.com/images/I/81mFQanhIKL._AC_SY355_.jpg,Caraselle,20.82,415,165,100,"7,445.93","2,692",195,"7,618",GB,3.06,1,4.4,469,8,4,CaraselleDirect,Garden,Standard Envelope,MFN,17.80 x 2.10 x 12.00 cm,0.04,N/A,"Jun 18, 2021",,No,59,CaraselleDirect
49.,"Orphea Anti Moth Strips - Floral Scented Moth Repellent for Wardrobes Drawers Shelves - Wardrobe Fresheners for Wool - Moth Paper Strips for Clothes Storage (1 Pack, 12 Strips) sold by Caraselle",B003QZAPKG,Repellent,https://www.amazon.co.uk/dp/B003QZAPKG?psc=1,https://m.media-amazon.com/images/I/51Ks9hjx0BL._AC_SY355_.jpg,Caraselle,11.56,117,117,50,"1,173.59","1,172.31",194,"17,510",GB,2.27,1,4.5,73,7,1,CaraselleDirect,Garden,Small Envelope,FBA,1.00 x 16.40 x 10.40 cm,0.02,N/A,"Dec 2, 2014",,No,137,CaraselleDirect
11.,"Clothes Moth Pheromone Traps (6 Pack) – Sticky Monitoring Traps for Wardrobe, Closet & Drawers – Indoor Traps for Clothes & Carpet Moths – Non Toxic, Odourless",B0F5NC9GS7,Physical Trap,https://www.amazon.co.uk/dp/B0F5NC9GS7?psc=1,https://m.media-amazon.com/images/I/71eEU+44DdL._AC_SX355_.jpg,INSECTIX PEST SOLUTION,15.72,964,964,600,"15,327.2","15,317.58",159,"1,800",GB,N/A,1,4.4,226,7,10,PEST EXPERT SOLUTION,Garden,Standard Envelope,FBA,14.60 x 1.90 x 12.30 cm,0.11,N/A,"Apr 19, 2025",,No,13,PEST EXPERT SOLUTION
148.,"Moth Repellent for Wardrobes 48 Cedar Rings for Clothes, Drawers, Storage Boxes - 100% Natural Cedarwood Moth Repellent, Aromatic Insect Repellent & Moth Killer Cedar Wood Rings - Sandpaper Included",B0CLTVK12L,Repellent,https://www.amazon.co.uk/dp/B0CLTVK12L?psc=1,https://m.media-amazon.com/images/I/71wEkRN5HSL._AC_SY355_.jpg,Besto,17.34,"1,006","1,006",700,"10,985.01","10,975.1",198,"2,509",GB,3.84,3,4.2,132,6,4,Besto Online,Garden,Standard Envelope,FBA,26.10 x 2.50 x 18.20 cm,0.35,N/A,"Oct 26, 2023",,No,31,Besto Online
71.,"Dr. Killigan's Premium Pantry Moth Traps with Pheromones Prime | Safe, Non-Toxic with No Insecticides | Sticky Glue Trap for Food and Cupboard Moths in Your Kitchen | Organic (6, Blue)",B00U1SMPBS,Physical Trap,https://www.amazon.co.uk/dp/B00U1SMPBS?psc=1,https://m.media-amazon.com/images/I/71xjaxzn-6L._AC_SY355_.jpg,Dr. Killigan's,17.32,852,638,400,"15,945.35","9,556.76",184,"1,591",US,5.09,1,4,"15,334",9,50,Dr. Killigan's International,Garden,Standard Envelope,FBA,15.11 x 2.21 x 12.39 cm,0.15,N/A,"Sep 15, 2017",,No,104,Dr. Killigan's International
141.,Moth Repellent for Wardrobes : 30 Cedar Wood Rings – Wardrobe Freshener and Natural Moth Repellent for Wardrobes – Cedarwood Moth Repellent – Eco Friendly Moth Protection – Drawer Fresheners – Inovida,B0CR5B3W94,Repellent,https://www.amazon.co.uk/dp/B0CR5B3W94?psc=1,https://m.media-amazon.com/images/I/81MTL489jAL._AC_SY355_.jpg,Inovida,9.24,883,779,600,"7,260.54","6,214.73",200,580,GB,2.37,1,4.1,"1,552",6,36,Inovida,Garden,Standard Envelope,FBA,18.10 x 1.90 x 18.00 cm,0.2,N/A,"Dec 28, 2023",,No,29,Inovida
134.,ecoKiwi Moth Repellent for Wardrobes & Clothes - 10 Pack Cedar Wood Hanging Blocks - Cedarwood Moth Repellent Wardrobe Freshener - 100% Natural Oil Storage for Drawers with Sandpaper,B0BVBQTRYV,Repellent,https://www.amazon.co.uk/dp/B0BVBQTRYV?psc=1,"https://m.media-amazon.com/images/I/71R6V6mSg3L._AC_SX355_PIbundle-10,TopRight,0,0_SH20_.jpg",ecoKiwi,18.5,418,333,400,"7,020.61","5,313.29",182,"1,620",GB,4.32,1,4.2,"1,161",7,N/A,ecoKiwi,Garden,Small Parcel,FBA,16.20 x 6.20 x 10.80 cm,0.46,N/A,"Feb 18, 2023",,No,39,ecoKiwi
38.,"Pestmatic Smart Moth Trap, 8 Clothes Moth Monitoring Traps for Wardrobe, 6+2 Anti Moth Pheromone Trap + Power-Up lighting Plates, Sticky Traps, Alternative for Moth Killer and Moth Repellent",B0813N5D6H,Physical Trap,https://www.amazon.co.uk/dp/B0813N5D6H?psc=1,https://m.media-amazon.com/images/I/61FBLyDJl5L._AC_SY355_.jpg,Pestmatic,18.4,309,309,200,"4,913.16","4,909.94",190,"5,442",PL,3,1,3.6,797,8,3,eDreams,Garden,Large Envelope,FBA,18.70 x 2.60 x 9.20 cm,0.11,N/A,"Nov 6, 2019",,No,78,eDreams
145.,ecoKiwi Moth Repellent for Wardrobes Cedar Rings - 28 Pack - 100% Natural Cedar Balls - Anti Moth Products - Cedarwood Oil Moth Repellent for Rooms & Clothes - Moth Balls for Wardrobe with Sandpaper,B0BZQD34ZL,Repellent,https://www.amazon.co.uk/dp/B0BZQD34ZL?psc=1,"https://m.media-amazon.com/images/I/71EILpqnHIL._AC_SX355_PIbundle-28,TopRight,0,0_SH20_.jpg",ecoKiwi,17.34,373,297,500,"5,979.16","4,443.67",198,990,GB,4.34,1,4.2,"1,295",6,N/A,ecoKiwi,Garden,Standard Envelope,FBA,23.29 x 2.01 x 14.20 cm,0.22,N/A,"Apr 26, 2023",,No,37,ecoKiwi
53.,Entopest | 10 Moth Monitoring Peds + 5 Natural Cedar Rings – Detect Clothes Moth Activity in Wardrobes & Rooms – Compatible with Entopest Hanger Units,B0C7XF5CK7,Repellent,https://www.amazon.co.uk/dp/B0C7XF5CK7?psc=1,https://m.media-amazon.com/images/I/71rTDs+K8LL._AC_SY355_.jpg,Entopest,20.77,352,272,200,"5,561.1","4,379.78",150,"4,525",GB,4.18,1,4.4,279,9,3,Fort Products,Garden,Small Parcel,FBA,14.80 x 6.70 x 12.20 cm,0.24,N/A,"Jul 28, 2023",,No,34,Fort Products
46.,"NOPE! Clothes Moth Traps | Odourless Non-Toxic Pheromone Sticky Trap | For Cupboards, Drawers & Clothes Storage Areas | Child & Pet Safe (12-pack)",B0FFTH6PLG,Physical Trap,https://www.amazon.co.uk/dp/B0FFTH6PLG?psc=1,https://m.media-amazon.com/images/I/71dgUTk96dL._AC_SX355_.jpg,NOPE!,23.13,445,208,100,"7,703.66","4,146.15",146,"4,869",GB,9.35,1,4.2,73,9,1,Safeguard Europe Ltd,Garden,Large Envelope,FBA,26.20 x 3.50 x 20.50 cm,0.27,N/A,"Jun 27, 2025",,No,11,Safeguard Europe Ltd
63.,Veddelholzer 8X Clothes Moth Trap Moth trap for clothes moths in wardrobes Triangular trap with hook & adhesive surface Odourless & non-toxic Effective moth protection for textiles & clothing,B0FKBTC9WQ,Physical Trap,https://www.amazon.co.uk/dp/B0FKBTC9WQ?psc=1,https://m.media-amazon.com/images/I/81D35gpb50L._AC_SY355_.jpg,Veddelholzer,9.78,461,461,300,"4,143.31","4,138.57",191,"3,114",CY,2.22,1,3.5,206,7,19,Veddelholzer,Garden,Standard Envelope,FBA,27.20 x 1.90 x 7.10 cm,0.06,N/A,"Sep 24, 2025",,No,8,Veddelholzer
37.,"MothMag Moth Traps for Clothes, Closets, Fabrics, and Carpets, Clothes Moth Traps, Closet Moth Traps, Clothing Moth Pheromone Traps, Mothballs Alternative, How to Get Rid of Moths in House",B09R3Y7Z53,Physical Trap,https://www.amazon.co.uk/dp/B09R3Y7Z53?psc=1,https://m.media-amazon.com/images/I/81MHN-2ZgtL._AC_SY355_.jpg,MothMag,11.54,497,411,400,"5,108.43","4,094.4",188,"2,109",GB,3.98,2,4.2,"1,274",6,N/A,Insect Wizard,Garden,Standard Envelope,FBA,18.40 x 1.90 x 15.60 cm,0.15,N/A,"Aug 26, 2025",,No,9,Insect Wizard
114.,"Moth Traps – 6 Pack for Wardrobes, Clothes & Storage Areas – Double-Sided Adhesive Surface, Non-Toxic, Odourless, Foldable Triangle Design",B0DZJ7QQGP,Physical Trap,https://www.amazon.co.uk/dp/B0DZJ7QQGP?psc=1,https://m.media-amazon.com/images/I/81Gum5r2xGL._AC_SY355_.jpg,Pest strike,8.09,659,469,300,"5,832.65","3,495.94",138,"4,014",GB,2.04,2,3.6,53,8,8,Rivero products,Garden,Small Envelope,FBA,10.00 x 1.00 x 5.00 cm,0.02,N/A,"Mar 20, 2025",,No,14,Rivero products
