"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  £","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  £","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
42.,"Neutrogena T/Gel Scalp Relief Anti-Dandruff Shampoo (150ml) With 3% Salicylic Acid, Suitable for Those Prone to Scalp Psoriasis and Seborrhoeic Dermatitis","B0DW3XJTVJ","https://www.amazon.co.uk/dp/B0DW3XJTVJ?psc=1","https://m.media-amazon.com/images/I/61LO4LbU84L._AC_SY355_.jpg","Neutrogena",4.68,"6,863","6,863","5,000","41,180.23","41,180.23",154,71,"AMZ",2.94,13,4.5,821,6,66,"Amazon","Baby Products","Large Envelope","AMZ","16.00 x 3.40 x 5.60 cm",0.2,"N/A","Nov 25, 2024",,"No",19,"Amazon"
43.,"Kérastase Symbiose, Moisturising Anti-Dandruff Cellular Shampoo, For Dry, Sensitive Scalps Prone To Dandruff, Sulphate-Free, Silicone-Free, Bain Crème Anti-Pelliculaire, 250 ml","B0BNNV8K2D","https://www.amazon.co.uk/dp/B0BNNV8K2D?psc=1","https://m.media-amazon.com/images/I/51Yhs+38vYL._AC_SX342_.jpg","KÉRASTASE",21.7,"1,370","1,370","1,000","31,877.66","31,877.67",176,"2,479","AMZ",6.24,1,4.6,"1,780",10,38,"Amazon","Beauty","Extra Large Envelope","AMZ","14.20 x 4.20 x 6.50 cm",0.29,"N/A","Jan 2, 2023",,"No",41,"Amazon"
44.,"The Body Shop Ginger Anti-Dandruff Shampoo (1x 250ml), Clarifying Shampoo for Dry, Itchy and Flaky Scalp, Vegan Haircare, Suitable for Sensitive Scalps","B0DLKXPB3X","https://www.amazon.co.uk/dp/B0DLKXPB3X?psc=1","https://m.media-amazon.com/images/I/718HtWV+JpL._AC_SY355_.jpg","The Body Shop",10,"8,025","2,849","2,000","115,113.73","31,392.8",151,473,"GB",4.78,2,4.6,"2,621",6,63,"The Body Shop UK","Beauty","Extra Large Envelope","FBA","13.40 x 5.20 x 5.30 cm",0.29,"N/A","Nov 22, 2024",,"No",19,"The Body Shop UK"
45.,"Polytar Scalp Shampoo, For Scalp Conditions, Reduces Itching, Inflammation and Scales, Shampoo Treats Psoriasis, Seborrhoeic Dermatitis, Eczema and Dandruff, Contains Coal Tar Solution, 1 x 150ml","B07NPW27GG","https://www.amazon.co.uk/dp/B07NPW27GG?psc=1","https://m.media-amazon.com/images/I/51mDg3JzvTL._AC_SY355_.jpg","Polytar",7.49,"11,890","11,890","8,000","125,993.18","125,993.16",195,222,"AMZ",3.18,10,4.5,"5,458",7,40,"Amazon","Beauty","Large Envelope","AMZ","16.40 x 3.40 x 7.60 cm",0.19,"N/A","Apr 5, 2019",,"No",86,"Amazon"
46.,"ATTITUDE Extra Gentle Hair Shampoo for Sensitive Dry Scalp, EWG Verified, Soothing Oat, For Thin Hair, Naturally Derived Ingredients, Vegan and Plant-Based, Unscented, 946 mL","B097MNC6J2","https://www.amazon.co.uk/dp/B097MNC6J2?psc=1","https://m.media-amazon.com/images/I/51eMj4P8kQL._AC_SY355_.jpg","ATTITUDE",14.99,101,41,50,"1,852.84",794.75,174,"15,424","AMZ",5.8,3,4.4,"2,312",6,"1,452","Amazon","Beauty","Small Parcel","AMZ","24.31 x 8.41 x 8.79 cm",1.08,"N/A","Dec 10, 2023",,"No",30,"Amazon"
47.,"Head & Shoulders DermaXPro Pure Hydration Anti Dandruff Shampoo 300ml for Dry and Delicate Scalp & Hair, Free from Sulphated Surfactants, Silicones and Dyes, with Ceramide Complex","B0FYJ1M8JH","https://www.amazon.co.uk/dp/B0FYJ1M8JH?psc=1","https://m.media-amazon.com/images/I/71-n6YkVjyL._AC_SY355_.jpg","Head & Shoulders",2.5,"1,684","1,684","1,000","6,673.35","6,673.37",179,592,"AMZ",2.78,2,4.5,153,8,17,"Amazon","Baby Products","Large Envelope","AMZ","19.40 x 3.40 x 6.50 cm",0.34,"N/A","Oct 30, 2025",,"No",8,"Amazon"
48.,"Wella Professionals Invigo Scalp Balance Anti-Dandruff - Gentle Soothing Shampoo - Dry Flaky, Scalp Shampoo For Sensitive Scalps - Fragrance Free (300ml)","B0CN9PWH5Q","https://www.amazon.co.uk/dp/B0CN9PWH5Q?psc=1","https://m.media-amazon.com/images/I/61x0wp1nDdL._AC_SX342_.jpg","Wella Professionals",13.04,153,153,100,"1,971.48","1,971.48",153,"18,930","AMZ",5.31,5,4.2,20,9,1,"Amazon","Beauty","Extra Large Envelope","AMZ","14.60 x 5.60 x 6.00 cm",0.34,"N/A","Oct 26, 2023",,"No",32,"Amazon"
49.,"Vichy Dercos Technique Anti-Dandruff Purifying Shampoo, With 1% Salicylic Acid & Selenium Disulfide, For Sensitive Oily Hair & Scalp, Removes Visible Flakes, 390ml","B00WN2BY7G","https://www.amazon.co.uk/dp/B00WN2BY7G?psc=1","https://m.media-amazon.com/images/I/51gUbb5fuiL._AC_SX342_.jpg","VICHY",16.79,"4,244","4,244","4,000","67,672.85","67,672.87",163,809,"AMZ",5.5,1,4.7,"11,271",11,242,"Amazon","Beauty","Extra Large Envelope","AMZ","20.20 x 5.90 x 5.90 cm",0.45,"N/A","Apr 24, 2015",,"No",134,"Amazon"
50.,"Wella Professionals INVIGO SCALP BALANCE Sensitive Scalp - Gentle Cleansing Shampoo - Dry Scalp Shampoo For Sensitive Scalps - Fragrance Free","B0CND41YKY","https://www.amazon.co.uk/dp/B0CND41YKY?psc=1","https://m.media-amazon.com/images/I/61+Kjkll3xL._AC_SX342_.jpg","Wella Professionals",12.06,145,52,"N/A","2,510.79",727.67,141,"40,487","AMZ",5.71,6,4.6,188,13,12,"Amazon","Beauty","Extra Large Envelope","AMZ","14.60 x 5.70 x 6.00 cm",0.34,"N/A","Oct 26, 2023",,"No",32,"Amazon"
51.,"Seborrheic Dermatitis & Psoriasis Scalp Shampoo: Folliculitis Shampoo, Anti-Dandruff Shampoo for Itchy, Redness-Prone Scalp, with Salicylic Acid, Sulfate-Free","B0GLQ3K3B2","https://www.amazon.co.uk/dp/B0GLQ3K3B2?psc=1","https://m.media-amazon.com/images/I/71QCJZbhIzL._AC_SY355_.jpg","Kopa Haiku",21.66,846,846,600,"21,993.32","21,993.32",158,"5,610","CN",6.88,1,4.8,266,7,45,"FreshLui","Beauty","Extra Large Envelope","FBA","19.70 x 5.50 x 5.50 cm",0.35,"N/A","Feb 5, 2026",,"No",4,"FreshLui"
